Sr No,Date dd/mm/yyyy,Startup Name,Industry Vertical,Industry_type,SubVertical,CityLocation,Citycode,Investors Name,InvestmentnType,InvestmentID,Amount in USD,Remarks
342,22/03/2018,i2i Funding,Consumer Internet,282,Online loan platform,Bangalore,12,SucSEED Venture Partners,Private Equity,22,768000,nan
343,22/03/2018,Slang Labs,Technology,283,Voice-based assistant platform,Bangalore,12,Endiya Partners,Private Equity,22,1240000,nan
344,22/03/2018,UrbanPiper,Technology,283,Online ordering solution for restaurants and food chains,Bangalore,12,"Kumar Vembu, Axilor Ventures",Private Equity,22,N/A,nan
345,26/03/2018,Cash Suvidha,Consumer Internet,284,Online loan platform,Bangalore,12,"Initia Holdings,Vipin Agarwal and others.",Private Equity,22,1000000,nan
346,28/03/2018,Roadcast,Technology,285,Fleet management and asset monitoring platform,Bangalore,12,N/A,Private Equity,22,250000,nan
347,28/03/2018,Smartcoin,Finance,286,Micro lending company,Bangalore,12,"Accion Venture Lab, Unicorn India Ventures and ISME ACE.",Private Equity,22,2000000,nan
348,27/03/2018,The Print,Media,287,News portal,Bangalore,12,Ratan Tata,Private Equity,22,535000,nan
349,27/03/2018,DriveU,Technology,288,Professional Car Drivers Hiring App,Bangalore,12,Amit Singhal and Unitus Seed Fund,Private Equity,22,3000000,nan
350,29/03/2018,Fynd,Consumer Internet,289,O2O fashion ecommerce platform,Bangalore,12,"Google, Kae Capital, IIFL, Singularity Ventures, GrowX, Tracxn Labs, Venture Catalyst, Patni family office and Axis Capital.",Private Equity,22,N/A,nan
351,1/2/2018,BigBasket,Consumer Internet,289,Online Grocery & Food Store,Bangalore,12,"Alibaba, Helion Venture Partners, Bessemer Venture Partners, Ascent Capital",Private Equity,22,300000000,nan
352,1/2/2018,Zomato,Food and Beverages,290,Food Ordering and Restaurant Discovery,Bangalore,12,Ant Financials,Private Equity,22,200000000,nan
353,5/2/2018,Pratilipi,Publishing,291,E-Publishing,Bangalore,12,Omidyar Network,Private Equity,22,4300000,nan
354,5/2/2018,Asia Institute Of Medical Science,Healthcare,292,Super-specialty Hospital,Bangalore,12,CDC Group Plc,Private Equity,22,21000000,nan
355,5/2/2018,CollegeDekho,Consumer Internet,293,Online platform for Higher Education Services,Bangalore,12,"Man Capital LLP, Girnar Software, Others",Private Equity,22,2000000,nan
356,6/2/2018,Foodmemories,Consumer Internet,293,Online Food Marketplace,Bangalore,12,"Bhavesh Manglani, Suraj Saharan, Darshan Upadhyay, Sanjay Notani & Others",Private Equity,22,N/A,nan
357,6/2/2018,Healthi,Healthcare,294,Preventive Health Checkup,Bangalore,12,Montane Ventures,Private Equity,22,3100000,nan
358,7/2/2018,Swiggy,Food and Beverages,295,Online Food Delivery,Bangalore,12,Naspers,Private Equity,22,100000000,nan
359,8/2/2018,Shape,Healthcare,296,"Online Portal for Diet,fitness and Beauty",Bangalore,12,Sandeep Mathur,Private Equity,22,100000000,nan
360,8/2/2018,Icertis,Consumer Internet,297,Enterprise Contract Management Platform,Bangalore,12,Meritech Capital Partners,Private Equity,22,50000000,nan
361,9/2/2018,healthifyme,Healthcare,298,Mobile Weight Loss Coach,Bangalore,12,Sistema Asia Fund,Private Equity,22,12000000,nan
362,9/2/2018,MedTel,Healthcare,298,Virtual health clinics,Bangalore,12,British and Indian Governments,Private Equity,22,N/A,nan
363,9/2/2018,Rupeek,Consumer Internet,299,Online Gold Loan,Bangalore,12,"Accel Partners, Sequoia Capital",Private Equity,22,6830000,nan
364,9/2/2018,WebEngage,Technology,300,Marketing Cloud for consumer businesses,Bangalore,12,Social Capital,Private Equity,22,N/A,nan
365,12/2/2018,Lendingkart,Finance,301,Online Lending Platform,Bangalore,12,Fullerton Financial Holdings Pte Ltd & Others,Private Equity,22,87000000,nan
366,12/2/2018,Wydr,Consumer Internet,302,B2B Marketplace,Bangalore,12,"Bessemer Venture Partners, Stellaris Venture Partners, Axis Capital, Singapore, Jungle Venture Partners",Private Equity,22,N/A,nan
367,12/2/2018,Cashify,E-Commerce,303,Online Selling,Bangalore,12,Trifecta Capital,Private Equity,22,935089,nan
368,13/02/2018,holachef,Food and Beverages,304,Online Food Delivery,Bangalore,12,Ashok Kumar Gajera,Private Equity,22,311200,nan
369,13/02/2018,Awaaz De,Technology,305,Mobile Solutions for Social Impact,Bangalore,12,Tribe Impact Capital LLP,Private Equity,22,N/A,nan
370,13/02/2018,IMAX Program,Ed-Tech,306,Individualised Progressive Learning Program,Bangalore,12,"Michael & Susan Dell Foundation, LGT Impact Ventures",Private Equity,22,13500000,nan
371,14/02/2018,Littlemore,Ed-Tech,306,Online Education Platform,Bangalore,12,Kalpavriksh,Private Equity,22,3000000,nan
372,14/02/2018,Toppr,Ed-Tech,306,Online Education Platform,Bangalore,12,Axis Capital Partners,Private Equity,22,100000,nan
373,14/02/2018,Shirsa Labs,Ed-Tech,306,Integrated Kids Engagement Company,Bangalore,12,"Dewang Neralla, Mahesh Kothurkar,Atul Agarwal",Private Equity,22,500000,nan
374,14/02/2018,MoneyOnMobile,Technology,307,mobile payment platform,Bangalore,12,S7 Group,Private Equity,22,5000000,nan
375,15/02/2018,PetSutra,Consumer Internet,308,Online Pet Care Products,Bangalore,12,Michael Patrick Hickey,Private Equity,22,148434,nan
376,15/02/2018,Infibeam,E-Commerce,309,Online Retailing,Bangalore,12,Network 18,Private Equity,22,6230000,nan
377,16/02/2018,happay,Finance,310,Expense Management,Bangalore,12,Sequoia and Jerry Yang,Private Equity,22,250000,nan
378,16/02/2018,Fincash,Finance,310,Fin-Tech,Bangalore,12,"Mohammed Khan, Sameer Narayan & Others",Private Equity,22,150000,nan
379,19/02/2018,AyeFinance,Finance,310,Online Lending,Bangalore,12,"Hinduja Leyland Finance, IntelleGrow",Private Equity,22,3800000,nan
380,20/02/2018,Agricxlab,Agriculture,311,Agri-tech,Bangalore,12,Ankur Capital,Private Equity,22,500000,nan
381,21/02/2018,Udaan,E-Commerce,312,B2B Marketplace,Bangalore,12,Lightspeed & Yuri Milner,Private Equity,22,50000000,nan
382,21/02/2018,Capillary,IT,313,SaaS,Bangalore,12,"Wargburg Pincus, Sequoia",Private Equity,22,20000000,nan
383,21/02/2018,The Healthy Billions,Healthcare,314,Analytics,Bangalore,12,"Blume Ventures, HealthQuad and Fireside Ventures",Private Equity,22,2100000,nan
384,21/02/2018,HighRadius,Technology,315,Cloud-based Software,Bangalore,12,"PNC, Citi Ventures",Private Equity,22,N/A,nan
385,26/02/2018,Avishkaar Box,Ed-Tech,316,Education,Bangalore,12,Auxano Deals,Private Equity,22,772500,nan
386,26/02/2018,Planys Technologies,Technology,317,Robotic InspectionStartup,Bangalore,12,"Kris Gopalakrishnan, Pratithi Investment Trust, MEMG Family Office, S Gopal",Private Equity,22,1040000,nan
387,27/02/2018,Lollypop,Technology,317,Digital Design,Bangalore,12,Dr Devi Shetty,Private Equity,22,N/A,nan
388,27/02/2018,Trilyo,Technology,317,AI platform for hospitality industry,Bangalore,12,"Startup Buddy,Amit Manocha and others",Private Equity,22,250000,nan
389,28/02/2018,Gaana,Technology,317,Online Music Streaming,Bangalore,12,"Tencent Holdings Ltd, Times Internet",Private Equity,22,115000000,nan
390,28/02/2018,Credy,IT,318,SaaS,Bangalore,12,"Y Combinator, Khosla Ventures, Vy Capital and others",Private Equity,22,1400000,nan
391,28/02/2018,Predible Health,Healthcare,319,Cancer radiology,Bangalore,12,Unitus Seed Fund,Private Equity,22,N/A,nan
392,2/1/2018,CleverTap,Technology,320,Mobile App Analytics,Bangalore,12,"Recruit Holdings, Sequoia Capital India, Accel Partners",Private Equity,22,N/A,nan
393,4/1/2018,EarlySalary,Finance,321,Online Lending,Bangalore,12,Eight Roads Ventures India,Private Equity,22,15700000,nan
394,5/1/2018,WOTU,E-commerce,322,Food and Beverages,Bangalore,12,"Claris Capital, Mumbai Angels Network",Private Equity,22,N/A,nan
395,8/1/2018,DAAKI,E-commerce,322,Sports Nutrition Supplement etailer,Bangalore,12,Rohan Agila,Private Equity,22,N/A,nan
396,9/1/2018,Lendingkart,Finance,323,Online Lending,Bangalore,12,Nederlandse Financierings-Maatschappij voor Ontwikkelingslanden N.V.,Private Equity,22,4700000,nan
397,9/1/2018,Kinsane Entertainment Inc,Entertainment,324,Digital Entertainment for Children,Bangalore,12,N/A,Private Equity,22,2500000,nan
398,10/1/2018,Tapzo,Technology,325,Personal Assistant,Bangalore,12,RuNet & Other,Private Equity,22,1930000,nan
399,10/1/2018,Appario Retail Pvt Ltd.,E-commerce,326,Retail,Bangalore,12,Amazon-Patni JV,Private Equity,22,18840000,nan
400,10/1/2018,Samunnati,Finance,327,Agricultural Loan,Bangalore,12,"responsAbility, Elevar Equity and Accel Partners",Private Equity,22,23500000,nan
401,10/1/2018,Sahajanand Medical Technologies,Technology,328,Medical Devices,Bangalore,12,Morgan Stanley Private Equity Asia,Private Equity,22,36230000,nan
402,12/1/2018,Kuants,Technology,328,Algorithmic Trading,Bangalore,12,"Pankaj Chopra, Ankush Gupta",Private Equity,22,"80,000",nan
403,12/1/2018,Razorpay,Technology,328,Payment Gateway,Bangalore,12,"Tiger Global, Y Combinator",Private Equity,22,20000000,nan
404,15/01/2018,Streak,Technology,328,Algorithmic Trading,Bangalore,12,"Indian fintech fund, Rainmatter",Private Equity,22,354600,nan
405,15/01/2018,pi Ventures,Finance,329,Venture Capital,Bangalore,12,"Sunil Kant Munjal, Hero Electronix\\xe2\\x80\\x99s corporate financing arm, Electronic Development Fund",Private Equity,22,25000000,nan
406,15/01/2018,Newgen Software,Technology,330,IT,Bangalore,12,"Goldman Sachs, hedge fund & Others",Private Equity,22,20000000,nan
407,17/01/2018,Rubix,Technology,330,Education,Bangalore,12,Polaris Fund,Private Equity,22,1000000,nan
408,18/01/2018,ShareChat,Technology,330,Social,Bangalore,12,"Xiaomi Singapore, Shunwei Capital",Private Equity,22,18200000,nan
409,22/01/2018,Paperflite,Technology,330,IT,Bangalore,12,The Chennai Angels,Private Equity,22,400000,nan
410,22/01/2018,HungerBox,Consumer Internet,331,Food and Beverages,Bangalore,12,Lionrock Capital,Private Equity,22,2500000,nan
411,22/01/2018,Skillate,Technology,332,Artificial Intellegence,Bangalore,12,"Incubate Fund India, Anuj Agrawal",Private Equity,22,N/A,nan
412,22/01/2018,OptaCredit,Finance,333,Alternative Lending,Bangalore,12,DMI Finance,Private Equity,22,4000000,nan
413,22/01/2018,AEON Learning,Technology,334,Education,Bangalore,12,Dr. Ranjan Pai,Private Equity,22,3200000,nan
414,23/01/2018,Milkbasket,E-commerce,335,Online Grocery,Bangalore,12,Unilever Ventures,Private Equity,22,3000000,nan
415,24/01/2018,NeoGrowth Credit,Finance,336,Digital Lending,Bangalore,12,"LeapFrog Investments, Aspada Investment, Quona Capital",Private Equity,22,47000000,nan
416,24/01/2018,Rao IIT Academy,Education,337,Coaching Services,Bangalore,12,Avendus Finance,Private Equity,22,8600000,nan
417,24/01/2018,Aye Finance,Finance,338,Online Lending,Bangalore,12,IFMR Capital,Private Equity,22,6240000,nan
418,25/01/2018,Glassic,Ecommerce,339,Eyewear,Bangalore,12,"Chennai Angels, Lead Angels, LetsVenture",Private Equity,22,N/A,nan
419,25/01/2018,GreyAtom,Technology,340,Education,Bangalore,12,Pravega Ventures,Private Equity,22,1000000,nan
420,26/01/2018,Axio,Healthcare,341,Hemostatic Dressing Solutions,Bangalore,12,RNT Capital,Private Equity,22,7400000,nan
421,29/01/2018,eKincare,Healthcare,341,Technology,Bangalore,12,"Ventureast, Endiya Partners, Eight Roads Ventures, Touchstone Equities, BVR Mohan Reddy",Private Equity,22,1500000,nan
422,29/01/2018,The Wedding Brigade,Consumer internet,342,Online Services,Bangalore,12,Blume Ventures,Private Equity,22,1000000,nan
423,30/01/2018,PeeSafe,Healthcare,343,Hygiene,Bangalore,12,"Shivani Singh, Rahul Maroli, Mitesh Shah, Venture Catalysts, Alfa Capital, Green Shots Capital, Real Time Ventures.",Private Equity,22,1000000,nan
424,30/01/2018,BrowserStack,Technology,344,Browser Testing,Bangalore,12,Accel Partners,Private Equity,22,50000000,nan
425,30/01/2018,Scapic,Technology,344,Virtual Reality,Bangalore,12,"Axilor Ventures, Newfort Capital",Private Equity,22,500000,nan
426,30/01/2018,MoneyOnMobile,Technology,344,Mobile Payment Platform,Bangalore,12,Undisclosed Investors,Private Equity,22,7600000,nan
427,30/01/2018,CureFit,Healthcare,345,Fitness,Bangalore,12,"HDFC Bank, Axis Bank",Private Equity,22,10000000,nan
428,31/01/2018,iNurture,Technology,346,Education Solutions,Bangalore,12,Ventureast,Private Equity,22,4400000,nan
429,1/12/2017,Strata Enviro,Technology,346,IoT based air pollution controller,Bangalore,12,Scale Minds,Private Equity,22,N/A,nan
430,5/12/2017,Dunzo,Technology,346,Daily Task Management Mobile App,Bangalore,12,Google,Private Equity,22,12300000,nan
431,5/12/2017,Tata Housing,Real Estate,347,Residential Project,Bangalore,12,Hines,Private Equity,22,23000000,nan
432,5/12/2017,HandyTrain,Technology,348,Mobile Learning Management Platform,Bangalore,12,NB Ventures,Private Equity,22,1000000,nan
433,5/12/2017,Mobycy,Technology,348,Bicycle sharing Platform,Bangalore,12,Undisclosed Investors,Private Equity,22,500000,nan
434,6/12/2017,Greenlight Planet,Technology,348,Off-grid solar products platform,Bangalore,12,"Apis Partner, Eight Roads Ventures, Bamboo Capital Partners",Private Equity,22,60000000,nan
435,6/12/2017,Fintobox,Technology,348,Child Learning & Development Platform,Bangalore,12,Lightbox,Private Equity,22,7000000,nan
436,7/12/2017,Mswipe,Technology,348,Mobile point of sale services provider,Bangalore,12,Eduardo Saverin,Private Equity,22,10000000,nan
437,7/12/2017,The Label Life,E-Commerce,349,Home Decor and Online Fashion Portal,Bangalore,12,Kalpvriksh,Private Equity,22,3100000,nan
438,7/12/2017,Cygnus Hospitals,Healthcare,350,Super speciality Hospitals,Bangalore,12,Somerset Indus Capital Ventures,Private Equity,22,750000,nan
439,7/12/2017,eShakti,Ecommerce,351,"""Women\\'s Fashion Clothing Online Platform""",Bangalore,12,IDG Ventures,Private Equity,22,2300000,nan
440,8/12/2017,Inshorts,Technology,352,Mobile News Curation App,Bangalore,12,Tiger Global,Private Equity,22,5000000,nan
441,11/12/2017,Vahdam Tea,E-Commerce,353,Online Platform Selling Indian Tea Globally,Bangalore,12,"Singapore Angel Network, Mumbai Angel",Private Equity,22,1500000,nan
442,11/12/2017,Logic Roots,Technology,354,Educational Platform to Learn Mathematics,Bangalore,12,Village Capital,Private Equity,22,"50,000",nan
443,11/12/2017,Project Mudra,Technology,354,Assisting Visually Impaired to learn through Braille,Bangalore,12,Village Capital,Private Equity,22,"50,000",nan
444,11/12/2017,Furlenco,Technology,354,Furniture Rental Platform,Bangalore,12,Aamir Khan,Private Equity,22,1200000,nan
445,12/12/2017,I Can Stay,Technology,354,Hotel Aggregator Platform,Bangalore,12,HT Media,Private Equity,22,1800000,nan
446,12/12/2017,Fracktal Works,Technology,354,Platform based on 3D printing and Digital Manufacturing,Bangalore,12,Hyderabad Angels,Private Equity,22,N/A,nan
447,12/12/2017,Simility,Technology,354,Adaptive Fraud Intelligence Platform,Bangalore,12,Accel Partners,Private Equity,22,17500000,nan
448,12/12/2017,Shopholix,E-Commerce,355,Fashion and Lifestyle Coupon Platform,Bangalore,12,Munesh Khanna,Private Equity,22,233000,nan
449,13/12/2017,MindTickle,Technology,356,Gamification Platform to train Sales People,Bangalore,12,Canaan Partners,Private Equity,22,27000000,nan
450,13/12/2017,Nazara Technologies,Technology,356,Mobile Games Development Firm,Bangalore,12,Rakesh Jhunjhunwala,Private Equity,22,27000000,nan
451,13/12/2017,DocsApp,Technology,356,Mobile Application for Doctor Consultation,Bangalore,12,Bessemer Venture Partners,Private Equity,22,7200000,nan
452,13/12/2017,Capita World,Technology,356,Artificial Intelligence Platform to Raise Funds,Bangalore,12,"Mohan Tanksale, Kiran Shetty, Darshak Shah, Mandar Mhatre",Private Equity,22,N/A,nan
453,14/12/2017,Tea Box,E-Commerce,357,Fresh Indian Tea Selling Platform across 112 countries,Bangalore,12,RB Investments,Private Equity,22,7000000,nan
454,14/12/2017,Transversal Technologies,Technology,358,Hyperlocal Video Information Sharing Platform,Bangalore,12,Matrix Partners,Private Equity,22,6000000,nan
455,14/12/2017,Curofy,Technology,358,Mobile App for Network of Doctors,Bangalore,12,RoundGlass Partners LLC,Private Equity,22,250000,nan
456,14/12/2017,HomeLane,E-Commerce,359,Online Furniture Marketplace,Bangalore,12,"Accel Partners, Sequoia Capital, RB Investments",Private Equity,22,10000000,nan
457,14/12/2017,WeDoSky,Technology,360,Provides Business Insights using Drone Imaginary,Bangalore,12,Mumbai Angels Network,Private Equity,22,N/A,nan
458,15/12/2017,Purplle,E-Commerce,361,Beauty Products Online Marketplace,Bangalore,12,"Mountain Pain Capital, Suncoast Investments",Private Equity,22,537000,nan
459,15/12/2017,Cash Suvidha,E-Commerce,361,Online Micro-Lending Platform,Bangalore,12,N/A,Private Equity,22,2700000,nan
460,18/12/2017,Sky Met Weather,Technology,362,Weather Forecast Platform,Bangalore,12,InsuResillience Investment Fund,Private Equity,22,N/A,nan
461,19/12/2017,Springboard,Technology,362,Online Courses and Mentoring from Experts,Bangalore,12,"Costanoa, Learn Capital, Jyoti Bansal",Private Equity,22,9500000,nan
462,19/12/2017,Peel Works,Technology,362,SaaS based Big Data Analytics Platform,Bangalore,12,Unilever Ventures,Private Equity,22,N/A,nan
463,19/12/2017,9Stacks,Technology,362,Online Poker Platform,Bangalore,12,"Swati Gupta, Purnima Khandelwal, Maheshwar Peri, Sanjay Singh",Private Equity,22,1500000,nan
464,20/12/2017,Your Quote,Technology,362,Vernacular and Video Content Platform,Bangalore,12,"Axilor Ventures, E-City VEntures Atul Goel",Private Equity,22,1000000,nan
465,20/12/2017,Spandana Sphoorty,Finance,363,Micro finance institution providing small ticket unsecured loans to women,Bangalore,12,"""Kedaraa Capital, Ontario Teachers\\'""",Private Equity,22,19500000,nan
466,21/12/2017,Indus OS,Technology,364,Regional Operating System for Smartphones,Bangalore,12,Omidyar Network,Private Equity,22,4000000,nan
467,21/12/2017,EasyEcom,E-Commerce,365,Ecommerce enabler platform,Bangalore,12,"Ambarish Gupta, Aneesh Reddy, Bold Ventures, Vona Investments",Private Equity,22,150000,nan
468,21/12/2017,IGP.com,E-Commerce,365,Online Gifting Platform,Bangalore,12,Venture Catalysts,Private Equity,22,N/A,nan
469,26/12/2017,Specsmakers,E-Commerce,365,Online Spects Platform for Men and Women,Bangalore,12,Eight Roads Ventures India,Private Equity,22,10000000,nan
470,27/12/2017,Garage On Road,E-Commerce,365,Online vehicle service booking platform,Bangalore,12,Gaurav Gupta,Private Equity,22,N/A,nan
471,27/12/2017,Foyr.com,Technology,366,Realty Tech Startup solving real life Interior Designing problems,Bangalore,12,Jones Lang LaSalle,Private Equity,22,3800000,nan
472,2/11/2017,Prest Loans,Finance,367,Business & SME Loans provider,Bangalore,12,"Manish Poddar, Arun Garg, Parmeshwar Sharma",Private Equity,22,570000,nan
473,2/11/2017,AadharAPI.com,Technology,368,Aadhaar-based API provider,Bangalore,12,CIO Angel Network,Private Equity,22,N/A,nan
474,2/11/2017,FreshBoxx,ECommerce,369,Online Grocery Store,Bangalore,12,Jayant Humbarwadi,Private Equity,22,N/A,nan
475,3/11/2017,Vagupu,Technology,370,Online Tutorial Marketplace,Bangalore,12,Undisclosed Investors,Private Equity,22,1000000,nan
476,3/11/2017,HalaPlay,Consumer Internet,371,Online Fantasy Games,Bangalore,12,"Kae Capital Management, Nazara Technologies",Private Equity,22,N/A,nan
477,3/11/2017,Kalpnik Technologies,Technology,372,VR based Spiritual platform,Bangalore,12,Venture Catalysts,Private Equity,22,500000,nan
478,4/11/2017,Hevo Data,Technology,372,Real time data analytics & reporting,Bangalore,12,IDG Ventures India,Private Equity,22,1000000,nan
479,6/11/2017,Smart Karma,Technology,372,Financial Technology Research Platform,Bangalore,12,IDG Ventures India,Private Equity,22,N/A,nan
480,6/11/2017,Leverage Edu,ECommerce,373,Online platform for Higher Education Services,Bangalore,12,"Alok Mittal, Deepak Jain, Ritesh Malik, Jim Schimdktke",Private Equity,22,N/A,nan
481,7/11/2017,Crayon Data,Technology,374,Customer Engagement Platform,Bangalore,12,Infosys co-founder Kris Gopalakrishnan,Private Equity,22,N/A,nan
482,7/11/2017,DocTalk,Technology,374,Doctor Patient Communication platform,Bangalore,12,"Matrix Partners India, Khosla Ventures",Private Equity,22,5000000,nan
483,7/11/2017,CoveIoT,Technology,374,Wearable tech and Internet of Things platform,Bangalore,12,"Titan Co Ltd, Tata Group\\xe2\\x80\\x99s watch and jewellery retailing firm",Private Equity,22,5000000,nan
484,8/11/2017,TalentEdge,Technology,374,Distance Education Learning Platform,Bangalore,12,Lumis Partners,Private Equity,22,7600000,nan
485,8/11/2017,Fisdom,Finance,375,Mutual Fund Investment App,Bangalore,12,Quona Capital Management,Private Equity,22,3000000,nan
486,8/11/2017,FarmLink,eCommerce,376,Online platform for Agricultural products,Bangalore,12,"Pioneering Ventures, Syngenta AG",Private Equity,22,3000000,nan
487,8/11/2017,OpenApp,Technology,377,IoT based Tech Startup,Bangalore,12,"Axilor Ventures, Kumar Vembu",Private Equity,22,3600000,nan
488,9/11/2017,NoPaperForms,Technology,377,Enrolment Management Platform,Bangalore,12,Info Edge,Private Equity,22,872000,nan
489,9/11/2017,Tilite Technologies Pvt. Ltd,Technology,377,Saas based Corporate Travel Management Solution,Bangalore,12,Matrix Partners,Private Equity,22,N/A,nan
490,9/11/2017,Mobiliz AR,Technology,377,Augmented Reality based Tech platform,Bangalore,12,"IDG Ventures, IDFC-Parampara Fund",Private Equity,22,N/A,nan
491,10/11/2017,Qubole,Technology,377,Big Data based analytics platform,Bangalore,12,"Singtel, Innov8, Harmony Partners",Private Equity,22,25000000,nan
492,10/11/2017,Happily Unmarried,ECommerce,378,Online Gifting platform,Bangalore,12,Wipro Consumer Care,Private Equity,22,N/A,nan
493,13/11/2017,Universal Sportsbiz Pvt. Ltd,ECommerce,378,Celebrity fashion accessories and merchandise,Bangalore,12,Accel Partners,Private Equity,22,15000000,nan
494,14/11/2017,Hungry Foal,Ecommerce,378,Healthy & Nutrition based snacks online platform,Bangalore,12,GAIL India Ltd,Private Equity,22,N/A,nan
495,14/11/2017,Active AI,Technology,379,AI based FinTech platform,Bangalore,12,Vertex Ventures,Private Equity,22,8250000,nan
496,15/11/2017,Sumeru,Technology,379,Banking Software License Platform,Bangalore,12,Undisclosed Investors,Private Equity,22,900000,nan
497,15/11/2017,ElderAid Wellness,Health Care,380,Social Healthcare Enterprise,Bangalore,12,Rugmini Menon,Private Equity,22,N/A,nan
498,15/11/2017,Omnia Information,Technology,381,WiFi Analytics Platform,Bangalore,12,Omidyar Network,Private Equity,22,3000000,nan
499,15/11/2017,Josh Talks,Inspiration,382,Storytelling platform,Bangalore,12,"Girish Mathrubootham, Apurva Chamaria, Rohit Chanana",Private Equity,22,N/A,nan
500,15/11/2017,Reniso,Technology,383,End-to-End property management for landlords living away,Bangalore,12,"Nishit Sharma, Alok Srivastava",Private Equity,22,N/A,nan
501,17/11/2017,Kanhaiya,Inspiration,384,Storytelling platform,Bangalore,12,Undisclosed Investors,Private Equity,22,200000,nan
502,17/11/2017,Perspectico,Technology,385,Placement preparation and career growth training platform,Bangalore,12,"SSCBS Innovation, Incubation Foundation (SIIF)",Private Equity,22,N/A,nan
503,20/11/2017,ONN Bikes,Technology,385,Self riding bike rental program,Bangalore,12,Z Nation Lab,Private Equity,22,692000,nan
504,21/11/2017,Rapido,Technology,385,Bike and Taxi pooling online platform,Bangalore,12,"Skycatcher Fund, Aravind Sanka",Private Equity,22,329230,nan
505,21/11/2017,Heckyl,Technology,385,Big Data Analytics Platform,Bangalore,12,"Notion Capital, IDG Ventures",Private Equity,22,2700000,nan
506,21/11/2017,Nuvepro,Technology,385,Managed Cloud Environment Solutions,Bangalore,12,1Crowd,Private Equity,22,400000,nan
507,21/11/2017,RedBook,Technology,385,AI based pharmacy drugs insights platform,Bangalore,12,"Vida Ventures, Dr. Aniruddha Malpani",Private Equity,22,250000,nan
508,21/11/2017,Portea,Healthcare,386,Healthcare facilities at doorstep,Bangalore,12,"Sabre Partners, MEMG CDC",Private Equity,22,26000000,nan
509,21/11/2017,Credit Mate,Technology,387,Vehicle loan approval platform,Bangalore,12,Paytm,Private Equity,22,N/A,nan
510,21/11/2017,Epiq Capital,Finance,388,Tech based investor firm,Bangalore,12,Global Institutional Investors,Private Equity,22,200000000,nan
511,22/11/2017,MiStay,Technology,389,Online Hotel Reservation Platform,Bangalore,12,Axilor Ventures,Private Equity,22,N/A,nan
512,23/11/2017,WittyFeed,Storytelling,390,Viral Content and storytelling platform,Bangalore,12,Sandeep Aggarwal,Private Equity,22,N/A,nan
513,24/11/2017,IDG Ventures,Finance,391,Venture Capitalist,Bangalore,12,Uniliver Ventures,Private Equity,22,10000000,nan
514,24/11/2017,TempGo,Technology,392,IoT and SaaS based transportation platform,Bangalore,12,Javelin StartupO Victory Fund,Private Equity,22,250000,nan
515,27/11/2017,Edelweiss,Finance,393,Diversified Financial,Bangalore,12,Undisclosed investors,Private Equity,22,270000000,nan
516,27/11/2017,ERA,Technology,394,Identity management platform,Bangalore,12,Amit Patni,Private Equity,22,"39,000",nan
517,27/11/2017,Smaaash,Technology,394,Virtual Reality based gaming platform,Bangalore,12,Sixth Sense Ventures,Private Equity,22,3800000,nan
518,28/11/2017,Chumbak,Lifestyle,395,Designer-led consumer products,Bangalore,12,Gaja Capital,Private Equity,22,13000000,nan
519,28/11/2017,FR8,Technology,396,Online Truck aggregator platform,Bangalore,12,IFMR Capital,Private Equity,22,1500000,nan
520,28/11/2017,MobieFit,Healthcare,397,Health and fitness based mobile App,Bangalore,12,"NB Ventures, MediAssist",Private Equity,22,1350000,nan
521,28/11/2017,Stanza Living,Technology,398,Student accommodation platform,Bangalore,12,"Matrix PArtners, Accel",Private Equity,22,2000000,nan
522,3/10/2017,ChqBook,Consumer Internet,399,Home Loans Aggregation platform,Bangalore,12,"Startup Buddy, Apurva Chamaria,Sachin Arora, Bharat Gupta, Amit Manocha",Private Equity,22,N/A,nan
523,3/10/2017,HomeCapital,Consumer Internet,399,Home Loan Down payment assistance program,Bangalore,12,Venture Catalysts,Private Equity,22,N/A,nan
524,3/10/2017,Ola Cabs,Consumer Internet,399,App based cab hailing services,Bangalore,12,"Tencent, Softbank Group",Private Equity,22,110000000,nan
525,4/10/2017,Elanic,Consumer Internet,399,P2P platform for Fashion sales,Bangalore,12,Digital Garage,Private Equity,22,N/A,nan
526,4/10/2017,CollPoll,Consumer Internet,399,Education collaboration platform,Bangalore,12,Sprout Angels,Private Equity,22,306000,nan
527,4/10/2017,PhonePe,Consumer Internet,399,Digital Wallet,Bangalore,12,Flipkart,Private Equity,22,38700000,nan
528,5/10/2017,Little Black Book,Consumer Internet,399,Local Recommendations and Discoveries Platform,Bangalore,12,"Blume Ventures, IDG Ventures & Indian Angel Network",Private Equity,22,1000000,nan
529,5/10/2017,Oorjan,Technology,400,rooftop solar platform,Bangalore,12,Globevestor,Private Equity,22,450000,nan
530,5/10/2017,Zefo,ECommerce,401,Ecommerce Portal for Used Goods,Bangalore,12,"Sequoia India, Helion Venture Partners, Beenext",Private Equity,22,9200000,nan
531,6/10/2017,Yaantra,ECommerce,401,Mobile repair and Refurbishment platform,Bangalore,12,Carpediem Capital,Private Equity,22,3100000,nan
532,6/10/2017,Farm Taaza,Technology,402,Fresh Produce SCM company,Bangalore,12,"Epsilon Venture Partners, Tara India Fund IV and others",Private Equity,22,8000000,nan
